Date,Open,High,Low,Close,Volume,Adj Close
2016-12-13,165.679993,169.949997,165.679993,168.289993,5838700,168.289993
2016-12-12,166.720001,166.789993,165.070007,165.50,3389200,165.50
2016-12-09,165.179993,166.720001,164.600006,166.520004,3143900,166.520004
2016-12-08,164.869995,166.00,164.220001,165.360001,3259700,165.360001
2016-12-07,160.600006,165.179993,160.389999,164.789993,4377300,164.789993
2016-12-06,160.130005,160.789993,158.929993,160.350006,2814800,160.350006
2016-12-05,160.850006,161.149994,159.589996,159.839996,3426500,159.839996
2016-12-02,159.00,160.289993,158.410004,160.020004,2737400,160.020004
2016-12-01,161.949997,162.199997,158.300003,159.820007,4621300,159.820007
2016-11-30,163.350006,163.800003,162.210007,162.220001,4319400,162.220001
2016-11-29,164.00,164.410004,163.029999,163.529999,3130200,163.529999
2016-11-28,163.199997,164.660004,162.699997,164.520004,4435900,164.520004
2016-11-25,161.830002,163.190002,161.830002,163.139999,1605300,163.139999
2016-11-23,161.940002,162.380005,161.360001,161.979996,2252700,161.979996
2016-11-22,163.00,163.00,161.949997,162.669998,2707900,162.669998
2016-11-21,160.690002,163.00,160.369995,162.770004,4601900,162.770004
2016-11-18,159.800003,160.720001,159.210007,160.389999,2958700,160.389999
2016-11-17,159.220001,159.929993,158.850006,159.800003,2256400,159.800003
2016-11-16,158.460007,159.550003,158.029999,159.289993,2244100,159.289993
2016-11-15,158.419998,159.149994,157.550003,158.669998,3385600,158.669998
2016-11-14,161.25,161.860001,157.580002,158.210007,5180400,158.210007
