Date,Open,High,Low,Close,Volume,Adj Close
2016-12-13,227.020004,228.339996,227.00,227.759995,103203100,227.759995
2016-12-12,226.399994,226.960007,225.759995,226.25,88085800,226.25
2016-12-09,225.410004,226.529999,225.369995,226.509995,80848700,226.509995
2016-12-08,224.570007,225.699997,224.259995,225.149994,90856300,225.149994
2016-12-07,221.520004,224.669998,221.380005,224.600006,104873600,224.600006
2016-12-06,221.220001,221.740005,220.660004,221.699997,57526300,221.699997
2016-12-05,220.649994,221.399994,220.419998,221.00,65431900,221.00
2016-12-02,219.669998,220.25,219.259995,219.679993,70863400,219.679993
2016-12-01,220.729996,220.729996,219.149994,219.570007,77230500,219.570007
2016-11-30,221.630005,221.820007,220.309998,220.380005,99783700,220.380005
2016-11-29,220.520004,221.440002,220.169998,220.910004,67079400,220.910004
2016-11-28,221.160004,221.479996,220.360001,220.479996,70284100,220.479996
2016-11-25,221.100006,221.559998,221.009995,221.520004,37861800,221.520004
2016-11-23,219.979996,220.759995,219.75,220.699997,54690100,220.699997
2016-11-22,220.509995,220.789993,219.729996,220.580002,65338600,220.580002
2016-11-21,219.169998,220.179993,219.00,220.149994,69429200,220.149994
2016-11-18,219.070007,219.270004,218.289993,218.50,83409700,218.50
2016-11-17,218.050003,219.059998,217.919998,218.990005,67199200,218.990005
2016-11-16,217.559998,218.139999,217.419998,217.869995,64761400,217.869995
2016-11-15,217.039993,218.279999,216.800003,218.279999,86402800,218.279999
2016-11-14,217.029999,217.270004,215.720001,216.589996,91861000,216.589996
